"","park_area_id","facility__Name","facility__Location","facility__Zip","ADDRESS_Ext","lon","lat","district"
"97","Q107","Springfield Park","149 Av, Springfield Bl, 145 Rd, 184 St","11413","Springfield Park,New York, NY,11413",-73.7612001,40.6629975,"Queens"
"98","Q300A","Kissena Corridor Park","Peck & Underhill Aves, Utopia Pkwy, Horace Harding","11365, 11366","Kissena Corridor Park,New York, NY,11365, 11366",-73.7935648,40.746404,"Queens"
"99","Q007","Bayswater Park","Dwight Ave., Seagirt Blvd. bet. Beach 38 St. and Bay 32 St.","11691","Bayswater Park,New York, NY,11691",-73.7691138,40.599056,"Queens"
"100","M089","Union Square Park","Broadway To 4 Ave., E 14 St. To E 17 St.","10003","Union Square Park,New York, NY,10003",-73.9910835,40.7358633,"Manhattan"
"101","B028","Dyker Beach Park","86 St., Belt Pkwy. bet. Bay 8 St., 14 Ave., and 7 Ave.","11209, 11228","Dyker Beach Park,New York, NY,11209, 11228",-74.019405,40.605625,"Brooklyn"
"102","X175","Riverbend Playground","Bailey Ave. bet. W. Kingsbrodge Rd. and W. 193 St.","10463, 10468","Riverbend Playground,New York, NY,10463, 10468",-73.9059453,40.8718815,"Bronx"
"103","Q103","Kennedy Playground","32 Ave., 33 Ave. bet. Corporal Kennedy St. and 210 St.","11361","Kennedy Playground,New York, NY,11361",-73.7793967,40.7716618,"Queens"
"104","M105","Sara D. Roosevelt Park","E. Houston St. To Canal St. bet. Chrystie St. and Forsyth St.","10002","Sara D. Roosevelt Park,New York, NY,10002",-73.9915425,40.7217408,"Manhattan"
"105","X029","Lyons Square Playground","Aldus St to Bruckner Blvd bet. Bryant Av and Longfellow Av","10459","Lyons Square Playground,New York, NY,10459",-73.8880312,40.822866,"Bronx"
"106","Q162I01",NA,NA,NA,"NA,New York, NY,NA",-74.0081611,40.732343,"Queens"
"107","Q004","Astoria Park","19 St. bet. Astoria Park S. and Ditmars Blvd.","11105","Astoria Park,New York, NY,11105",-73.9228336,40.7785364,"Queens"
"108","R022","Silver Lake Park","Victory Blvd., Clove Rd., Forest Ave.","10301","Silver Lake Park,New York, NY,10301",-74.0916944,40.6245495,"Staten Island"
"109","Q163","Rockaway Beach Boardwalk","Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.","11692, 11693, 11694","Rockaway Beach Boardwalk,New York, NY,11692, 11693, 11694",-73.8094671,40.5849517,"Queens"
"110","B026","Cuyler Gore Park","Carlton Ave., Fulton St., Green Ave.","11238","Cuyler Gore Park,New York, NY,11238",-73.971945,40.685725,"Brooklyn"
"111","Q471","Hunter's Point South Park","Center Blvd. bet. 50 Ave. and 2 St.","11101","Hunter's Point South Park,New York, NY,11101",-73.9606831,40.7422936,"Queens"
"112","M208D","Harlem River Park","E. 128 St., 2 Ave., 3 Ave., Harlem River Drive","10035","Harlem River Park,New York, NY,10035",-73.9335143,40.8058366,"Manhattan"
"113","Q044","L/CPL Thomas P. Noonan Jr. Playground","47 Ave., Greenpoint Ave. bet. 42 St. and 43 St.","11104","L/CPL Thomas P. Noonan Jr. Playground,New York, NY,11104",-73.9225823,40.7412558,"Queens"
"114","X044","St. James Park","Jerome Ave., E. 193 St., Creston Ave., E","10468","St. James Park,New York, NY,10468",-73.8977778,40.865,"Bronx"
"115","M223","Jacob H. Schiff Playground","Amsterdam Ave. bet. W. 136 St. and W. 138 St.","10031","Jacob H. Schiff Playground,New York, NY,10031",-73.9519586,40.8208184,"Manhattan"
"116","Q300","Kissena Corridor Park","Lawrence St,N Hempstead Tpk,Elder Ave,Kissena Blvd","11355","Kissena Corridor Park,New York, NY,11355",-73.8205452,40.7472926,"Queens"
"117","Q086","Flushing Fields","149 St. bet. 25 Ave. and 26 Ave., 29 Ave. and Bayside Ave.","11354","Flushing Fields,New York, NY,11354",-73.8166725,40.7745559,"Queens"
"118","Q392","Idlewild Park","149 Ave., Rockaway Blvd., Jamaica Bay bet. James Brown Pl. and Brookville Blvd.","11413, 11422","Idlewild Park,New York, NY,11413, 11422",-73.7570786,40.6546138,"Queens"
"119","Q220E","Playground One Forty","Van Wyck Exwy. Sr. Rd. E., 140 St. bet. 120 Ave. and Rockaway Blvd.","11436","Playground One Forty,New York, NY,11436",-73.800827,40.6750106,"Queens"
"120","Q207","MacDonald Park","Queens Blvd. bet. Yellowstone Blvd. and 70 Rd.","11375","MacDonald Park,New York, NY,11375",-73.8474399,40.7224445,"Queens"
"121","Q162","Rockaway Beach and Boardwalk","Lands underwater bet. B. 2 St. and B. 73 St.","11691, 11692","Rockaway Beach and Boardwalk,New York, NY,11691, 11692",-73.7898321,40.588503,"Queens"
"122","Q397","Auburndale Playground","171 St., 172 St. bet. 33 Ave. and 35 Ave.","11358","Auburndale Playground,New York, NY,11358",-73.7942711,40.7658125,"Queens"
