ZIPCODE,borough,Neighbourhood,cases,perc_pos,LAT_repre,LNG_repre
10471,Bronx,Fieldston/North Riverdale/Riverdale,818,17.95,40.898868,-73.903328
10472,Bronx,Soundview,2038,25.26,40.829556,-73.869336
10473,Bronx,Castle Hill/Clason Point/Soundview,1988,22.24,40.81869,-73.858474
10474,Bronx,Hunts Point,335,23.88,40.810549,-73.884367
10475,Bronx,Co-op City/Edenwald,1743,23.97,40.875169,-73.823817
11004,Queens,Bellerose/Douglaston-Little Neck,619,17.47,40.746204,-73.711478
11101,Queens,Astoria (South)/Long Island City/Sunnyside,654,12.51,40.747155,-73.93975
11102,Queens,Astoria (North),643,14.47,40.772884,-73.926295
11103,Queens,Astoria (North)/Astoria (South),597,13.08,40.762574,-73.913447
11104,Queens,Sunnyside,511,15.24,40.744634,-73.920201
11105,Queens,Ditmars Steinway,505,11.61,40.778877,-73.906769
11106,Queens,Astoria (South),672,14.28,40.762211,-73.931528
11109,Queens,Long Island City,51,7.43,40.745115,-73.956928
11201,Brooklyn,Brooklyn Heights/DUMBO/Downtown Brooklyn,742,8.16,40.693682,-73.989693
11203,Brooklyn,East Flatbush (North)/East Flatbush (South),2141,22.56,40.649591,-73.934371
11204,Brooklyn,Bensonhurst/Mapleton,2070,19.45,40.618779,-73.984826
11205,Brooklyn,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,761,14.12,40.694696,-73.966286
11206,Brooklyn,Williamsburg (South),1657,16.09,40.701954,-73.942358
11207,Brooklyn,Cypress Hills/East New York,2184,21.14,40.670747,-73.894209
11208,Brooklyn,Cypress Hills/East New York,2487,22.67,40.669769,-73.871372
11209,Brooklyn,Bay Ridge/Fort Hamilton,1175,13.9,40.621982,-74.030324
11210,Brooklyn,Flatlands/Midwood,1751,21.41,40.628147,-73.946324
11211,Brooklyn,East Williamsburg/Williamsburg (North)/Williamsburg (South),2142,14.27,40.712597,-73.953098
11212,Brooklyn,Ocean Hill-Brownsville,1950,21.24,40.662936,-73.913029
11213,Brooklyn,Crown Heights (East),1450,18.55,40.671078,-73.936336
11214,Brooklyn,Bath Beach/Bensonhurst/Gravesend,1607,16.67,40.599148,-73.99609
11215,Brooklyn,Gowanus/Park Slope/Windsor Terrace,641,8.3,40.662688,-73.98674
11216,Brooklyn,Bedford-Stuyvesant (West)/Crown Heights (West),765,11.94,40.680768,-73.949316
11217,Brooklyn,Boerum Hill/Park Slope,643,11.97,40.682306,-73.978099
11218,Brooklyn,Kensington/Windsor Terrace,1801,18.28,40.643468,-73.976046
11219,Brooklyn,Borough Park,3128,18.65,40.632667,-73.996669
11220,Brooklyn,Sunset Park,1628,18.85,40.641221,-74.016862
11221,Brooklyn,Bedford-Stuyvesant (East)/Bushwick,1371,15.67,40.69134,-73.927879
11222,Brooklyn,Greenpoint,468,8.8,40.72779,-73.947605
11223,Brooklyn,Gravesend/Homecrest,1755,19.49,40.597139,-73.973428
11224,Brooklyn,Brighton Beach/Coney Island/Seagate,1284,21.57,40.577372,-73.988706
11225,Brooklyn,Crown Heights (West)/Prospect Lefferts Gardens,1188,17.16,40.663046,-73.954219
11226,Brooklyn,Flatbush/Prospect Lefferts Gardens,2382,20.18,40.646448,-73.956649
11228,Brooklyn,Bath Beach/Dyker Heights,695,16.99,40.616695,-74.013047
11229,Brooklyn,Gerritsen Beach/Homecrest/Sheepshead Bay,1813,13.73,40.601293,-73.944493
11230,Brooklyn,Midwood,2429,19.08,40.622164,-73.965105
11231,Brooklyn,Carroll Gardens/Cobble Hill/Red Hook,435,10.1,40.677916,-74.005154
