encounter_timestamp,park_area_id,park_district,park_borough,patroncount,in_playground,action_taken,amenity
2020-03-26 12:58:22,B324,B-18,Brooklyn,5,False,Approached the crowd; they complied with instructions,
2020-03-26 12:59:04,Q067A,Q-02,Queens,20,False,Did not approach the crowd; the crowd remains,
2020-03-26 13:09:28,M029,M-12,Manhattan,8,True,Approached the crowd; they ignored the employee,
2020-03-26 13:16:05,M029-01,M-12,Manhattan,10,True,Approached the crowd; they ignored the employee,
2020-03-26 13:22:19,Q436,Q-01,Queens,11,True,Approached the crowd; they ignored the employee,
2020-03-26 13:24:35,Q026,Q-04,Queens,5,True,Did not approach the crowd; the crowd remains,
2020-03-26 13:44:13,R075A,R-02,Staten Island,15,False,Approached the crowd; they ignored the employee,
2020-03-26 13:49:32,Q085,Q-03,Queens,4,True,Approached the crowd; they ignored the employee,
2020-03-26 13:51:19,M105-02,M-03,Manhattan,15,True,Approached the crowd; they ignored the employee,
2020-03-26 13:52:19,Q207,Q-06,Queens,25,False,Did not approach the crowd; the crowd remains,
2020-03-26 13:55:37,M037-ZN01,M-12A,Manhattan,8,False,Approached the crowd; they complied with instructions,
2020-03-26 13:56:03,M037-ZN04,M-12A,Manhattan,6,True,Did not approach the crowd; the crowd remains,
2020-03-26 13:58:00,Q391,Q-08,Queens,6,True,Did not approach the crowd; the crowd remains,
2020-03-26 14:10:21,R028,R-01,Staten Island,16,False,Did not approach the crowd; the crowd remains,
2020-03-26 14:10:58,R035,R-01,Staten Island,4,True,Did not approach the crowd; the crowd remains,
2020-03-26 14:12:36,R005-ZN03,R-01,Staten Island,6,False,Approached the crowd; they complied with instructions,
2020-03-26 14:12:57,R059,R-01,Staten Island,7,False,Did not approach the crowd; the crowd remains,
2020-03-26 14:13:39,R144,R-01,Staten Island,3,True,Did not approach the crowd; the crowd remains,
2020-03-26 14:18:20,Q377,Q-06,Queens,6,True,Did not approach the crowd; the crowd remains,
2020-03-26 14:19:27,B100,B-11,Brooklyn,30,True,Approached the crowd; they ignored the employee,
2020-03-26 14:19:54,Q348,Q-06,Queens,8,True,Did not approach the crowd; the crowd remains,
2020-03-26 14:20:11,B109,B-15,Brooklyn,30,False,Approached the crowd; they ignored the employee,
2020-03-26 14:20:12,X041,X-01,Bronx,11,True,Approached the crowd; they ignored the employee,
2020-03-26 14:20:54,B209,B-15,Brooklyn,15,True,Approached the crowd; they ignored the employee,
2020-03-26 14:22:13,Q099-ZN15,Q-15,Queens,11,False,Did not approach the crowd; the crowd remains,
2020-03-26 14:25:42,B197,B-15,Brooklyn,10,True,Approached the crowd; they ignored the employee,
2020-03-26 14:26:15,B007,B-11,Brooklyn,50,False,Approached the crowd; they ignored the employee,
2020-03-26 14:27:53,Q099-ZN10,Q-15,Queens,20,False,Did not approach the crowd; the crowd remains,
2020-03-26 14:28:26,M029-01,M-12,Manhattan,15,True,Did not approach the crowd; the crowd remains,
2020-03-26 14:32:43,Q099-ZN06,Q-15,Queens,25,False,Approached the crowd; they ignored the employee,
2020-03-26 14:34:36,Q362,Q-03,Queens,9,True,Did not approach the crowd; the crowd remains,
2020-03-26 14:36:27,Q102-ZN02,Q-05,Queens,6,False,Did not approach the crowd; the crowd remains,
2020-03-26 14:36:46,Q102,Q-05,Queens,8,True,Did not approach the crowd; the crowd remains,
2020-03-26 14:37:04,Q102,Q-05,Queens,12,False,Did not approach the crowd; the crowd remains,
2020-03-26 14:39:22,Q102-ZN03,Q-05,Queens,9,False,Did not approach the crowd; the crowd remains,
2020-03-26 14:43:27,Q102-02,Q-05,Queens,30,False,Did not approach the crowd; the crowd remains,
2020-03-26 14:43:51,B049,B-04,Brooklyn,25,False,Approached the crowd; they complied with instructions,
2020-03-26 14:45:29,Q410,Q-03,Queens,35,False,Did not approach the crowd; the crowd remains,
2020-03-26 14:45:31,R046-05,R-02B,Staten Island,10,True,Did not approach the crowd; the crowd remains,
2020-03-26 14:46:04,Q425,Q-06,Queens,10,True,Did not approach the crowd; the crowd remains,
2020-03-26 14:47:52,Q476,Q-07,Queens,12,False,Did not approach the crowd; the crowd remains,
2020-03-26 14:56:28,X045-03,X-01,Bronx,18,False,Approached the crowd; they ignored the employee,
2020-03-26 14:56:45,R066,R-01,Staten Island,14,False,Did not approach the crowd; the crowd remains,
2020-03-26 15:01:56,Q359,Q-12,Queens,23,True,Approached the crowd; they ignored the employee,
2020-03-26 15:02:31,R015,R-01,Staten Island,15,True,Did not approach the crowd; the crowd remains,
2020-03-26 15:03:31,Q021,Q-08,Queens,30,False,Did not approach the crowd; the crowd remains,
2020-03-26 15:09:42,X045-03,X-01,Bronx,20,False,Approached the crowd; they ignored the employee,
2020-03-26 15:10:50,X045-01,X-01,Bronx,11,False,Approached the crowd; they ignored the employee,
2020-03-26 15:11:53,X146,X-01,Bronx,13,False,Approached the crowd; they ignored the employee,
2020-03-26 15:16:10,R031,R-03,Staten Island,20,False,Approached the crowd; they ignored the employee,
2020-03-26 15:34:09,Q099-20,Q-15,Queens,12,True,Did not approach the crowd; the crowd remains,
2020-03-26 15:38:23,X045-01,X-01,Bronx,13,False,Approached the crowd; they ignored the employee,
2020-03-26 15:39:48,X146,X-01,Bronx,11,False,Approached the crowd; they ignored the employee,
2020-03-26 15:40:24,R005-ZN03,R-01,Staten Island,8,False,Approached the crowd; they complied with instructions,
2020-03-26 15:45:08,Q340,Q-02,Queens,10,True,Approached the crowd; they ignored the employee,
2020-03-26 15:55:43,Q099-20,Q-15,Queens,8,True,Did not approach the crowd; the crowd remains,
2020-03-26 15:56:22,Q099-01,Q-06,Queens,13,True,Did not approach the crowd; the crowd remains,
2020-03-26 15:59:10,B100,B-11,Brooklyn,25,False,Approached the crowd; they ignored the employee,
2020-03-26 16:00:09,B087-01,B-07,Brooklyn,6,False,Did not approach the crowd; the crowd remains,
2020-03-26 16:00:44,B209,B-15,Brooklyn,12,True,Did not approach the crowd; the crowd remains,
2020-03-26 16:01:29,B109,B-15,Brooklyn,30,True,Approached the crowd; they ignored the employee,
2020-03-26 16:02:40,B007,B-11,Brooklyn,40,False,Did not approach the crowd; the crowd remains,
2020-03-26 16:03:39,B164,B-11,Brooklyn,15,True,Did not approach the crowd; the crowd remains,
2020-03-26 16:10:36,B244,B-15,Brooklyn,10,False,Approached the crowd; they ignored the employee,
2020-03-26 16:10:54,Q099-15,Q-15,Queens,33,True,Did not approach the crowd; the crowd remains,
2020-03-26 16:12:39,Q051,Q-12,Queens,15,False,Did not approach the crowd; the crowd remains,
2020-03-26 16:13:28,Q005-05,Q-12,Queens,20,True,Did not approach the crowd; the crowd remains,
2020-03-26 16:21:34,Q099-ZN06,Q-15,Queens,40,True,Did not approach the crowd; the crowd remains,
2020-03-26 16:30:45,Q163-20,Q-14,Queens,4,False,Did not approach the crowd; the crowd remains,
2020-03-26 16:31:39,M029-01,M-12,Manhattan,8,True,Did not approach the crowd; the crowd remains,
2020-03-26 16:45:15,B251,B-15,Brooklyn,50,True,Approached the crowd; they ignored the employee,
2020-03-26 16:46:28,B393,B-15,Brooklyn,40,False,Did not approach the crowd; the crowd remains,
2020-03-26 16:50:50,Q099-ZN06,Q-15,Queens,40,False,Approached the crowd; they ignored the employee,
2020-03-26 16:52:09,Q099-ZN07,Q-15,Queens,4,False,Did not approach the crowd; the crowd remains,
2020-03-26 16:53:07,Q021,Q-08,Queens,25,False,Approached the crowd; they ignored the employee,
2020-03-26 16:56:49,Q099-17,Q-15,Queens,8,True,Approached the crowd; they ignored the employee,
2020-03-26 17:00:40,Q099-ZN09,Q-15,Queens,10,True,Did not approach the crowd; the crowd remains,
2020-03-26 17:01:40,Q099-ZN20,Q-15,Queens,28,False,Did not approach the crowd; the crowd remains,
2020-03-26 17:03:56,Q099-ZN13,Q-15,Queens,25,True,Did not approach the crowd; the crowd remains,
2020-03-26 17:04:48,Q099-15,Q-15,Queens,16,True,Did not approach the crowd; the crowd remains,
2020-03-26 17:07:30,Q099-ZN16,Q-15,Queens,30,True,Did not approach the crowd; the crowd remains,
2020-03-26 17:09:03,Q205A,Q-02,Queens,12,True,Approached the crowd; they ignored the employee,
2020-03-26 17:21:45,Q099-ZN15,Q-15,Queens,25,True,Approached the crowd; they ignored the employee,
2020-03-26 17:22:37,Q066B,Q-01,Queens,11,True,Approached the crowd; they ignored the employee,
2020-03-26 17:23:04,B099,B-11,Brooklyn,30,True,Did not approach the crowd; the crowd remains,
2020-03-26 17:44:50,B251-ZN03,B-15,Brooklyn,15,False,Approached the crowd; they ignored the employee,
2020-03-26 17:47:57,Q024-03,Q-07,Queens,10,True,Did not approach the crowd; the crowd remains,
2020-03-26 17:54:28,Q015-02,Q-16,Queens,8,False,Did not approach the crowd; the crowd remains,
2020-03-26 18:34:19,Q015-02,Q-16,Queens,7,True,Approached the crowd; they ignored the employee,
2020-03-26 18:35:06,Q015,Q-16,Queens,8,False,Approached the crowd; they ignored the employee,
2020-03-26 18:36:14,Q015,Q-16,Queens,4,False,Approached the crowd; they ignored the employee,
2020-03-26 18:54:18,Q106,Q-12,Queens,20,True,Did not approach the crowd; the crowd remains,
2020-03-26 21:06:21,B057,B-18,Brooklyn,10,True,Did not approach the crowd; the crowd remains,
2020-03-26 22:55:56,M099,M-12,Manhattan,10,True,Approached the crowd; they ignored the employee,
2020-03-26 22:56:53,M037-ZN04,M-12A,Manhattan,5,True,Approached the crowd; they ignored the employee,
2020-03-26 22:57:18,M037-01,M-12A,Manhattan,17,True,Approached the crowd; they ignored the employee,
2020-03-26 22:57:41,M037-04,M-12A,Manhattan,15,True,Approached the crowd; they ignored the employee,
2020-03-26 22:58:20,M042-ZN04,M-12,Manhattan,6,False,Approached the crowd; they ignored the employee,
2020-03-26 23:00:08,M037-ZN03,M-12A,Manhattan,25,True,Approached the crowd; they ignored the employee,
2020-03-26 23:00:45,M042-ZN01,M-12,Manhattan,20,True,Approached the crowd; they ignored the employee,
2020-03-26 23:01:32,M029-02,M-12,Manhattan,15,True,Approached the crowd; they ignored the employee,
2020-03-26 23:02:15,M029-01,M-12,Manhattan,15,True,Approached the crowd; they ignored the employee,
2020-03-26 23:02:53,M037-ZN05,M-12A,Manhattan,8,False,Approached the crowd; they ignored the employee,
2020-03-27 08:18:56,X029,X-02,Bronx,20,True,Approached the crowd; they ignored the employee,
2020-03-27 08:19:40,X190,X-02,Bronx,10,True,Approached the crowd; they ignored the employee,
2020-03-27 08:21:21,Q320,Q-08,Queens,3,True,Approached the crowd; they ignored the employee,
2020-03-27 08:42:00,Q300-ZN01,Q-07,Queens,15,False,Did not approach the crowd; the crowd remains,
2020-03-27 09:10:42,R030-099,R-02,Staten Island,20,False,Did not approach the crowd; the crowd remains,
2020-03-27 09:16:16,Q329,Q-08,Queens,3,True,Approached the crowd; they ignored the employee,
2020-03-27 09:45:23,Q341F,Q-02,Queens,9,True,Approached the crowd; they ignored the employee,
2020-03-27 10:03:11,X010A,X-06,Bronx,7,False,Approached the crowd; they ignored the employee,
2020-03-27 10:10:43,Q067A,Q-02,Queens,22,True,Approached the crowd; they ignored the employee,
2020-03-27 10:29:30,X011-ZN01,X-06,Bronx,4,False,Approached the crowd; they ignored the employee,
2020-03-27 10:43:05,R046-ZN01,R-02B,Staten Island,6,False,Did not approach the crowd; the crowd remains,
2020-03-27 10:53:23,M285,M-11,Manhattan,24,True,Did not approach the crowd; the crowd remains,
2020-03-27 10:56:44,Q422,Q-14,Queens,6,True,Did not approach the crowd; the crowd remains,
2020-03-27 11:08:03,B210A,B-07,Brooklyn,4,False,Approached the crowd; they complied with instructions,
2020-03-27 11:11:05,Q099-ZN12,Q-15,Queens,10,False,Did not approach the crowd; the crowd remains,
