date,borough,cases
2020-05-11,New York,193
2020-05-11,Queens,376
2020-05-11,Richmond,27
2020-05-12,Kings,400
2020-05-12,Bronx,355
2020-05-12,New York,164
2020-05-12,Queens,313
2020-05-12,Richmond,53
2020-05-13,Kings,362
2020-05-13,Bronx,461
2020-05-13,New York,157
2020-05-13,Queens,308
2020-05-13,Richmond,47
2020-05-14,Kings,334
2020-05-14,Bronx,257
2020-05-14,New York,148
2020-05-14,Queens,331
2020-05-14,Richmond,42
2020-05-15,Kings,259
2020-05-15,Bronx,182
2020-05-15,New York,135
2020-05-15,Queens,266
2020-05-15,Richmond,33
2020-05-16,Kings,165
2020-05-16,Bronx,108
2020-05-16,New York,52
2020-05-16,Queens,136
2020-05-16,Richmond,25
2020-05-17,Kings,137
2020-05-17,Bronx,56
2020-05-17,New York,50
2020-05-17,Queens,106
2020-05-17,Richmond,10
2020-05-18,Kings,266
2020-05-18,Bronx,188
2020-05-18,New York,132
2020-05-18,Queens,273
2020-05-18,Richmond,38
2020-05-19,Kings,328
2020-05-19,Bronx,181
2020-05-19,New York,167
2020-05-19,Queens,286
2020-05-19,Richmond,42
2020-05-20,Kings,325
2020-05-20,Bronx,279
2020-05-20,New York,165
2020-05-20,Queens,255
2020-05-20,Richmond,56
2020-05-21,Kings,337
2020-05-21,Bronx,199
2020-05-21,New York,146
2020-05-21,Queens,310
2020-05-21,Richmond,78
2020-05-22,Kings,356
2020-05-22,Bronx,264
2020-05-22,New York,152
2020-05-22,Queens,238
2020-05-22,Richmond,32
2020-05-23,Kings,148
2020-05-23,Bronx,90
2020-05-23,New York,49
2020-05-23,Queens,134
2020-05-23,Richmond,37
2020-05-24,Kings,166
2020-05-24,Bronx,101
2020-05-24,New York,68
2020-05-24,Queens,120
2020-05-24,Richmond,14
2020-05-25,Kings,163
2020-05-25,Bronx,104
2020-05-25,New York,70
2020-05-25,Queens,114
2020-05-25,Richmond,17
2020-05-26,Kings,319
2020-05-26,Bronx,284
2020-05-26,New York,126
2020-05-26,Queens,267
2020-05-26,Richmond,57
2020-05-27,Kings,246
2020-05-27,Bronx,182
2020-05-27,New York,108
2020-05-27,Queens,165
2020-05-27,Richmond,43
2020-05-28,Kings,222
2020-05-28,Bronx,118
2020-05-28,New York,99
2020-05-28,Queens,178
2020-05-28,Richmond,30
2020-05-29,Kings,168
2020-05-29,Bronx,166
2020-05-29,New York,73
2020-05-29,Queens,212
2020-05-29,Richmond,27
2020-05-30,Kings,106
2020-05-30,Bronx,80
2020-05-30,New York,38
2020-05-30,Queens,109
2020-05-30,Richmond,16
2020-05-31,Kings,84
2020-05-31,Bronx,30
2020-05-31,New York,25
2020-05-31,Queens,79
2020-05-31,Richmond,12
2020-06-01,Kings,252
2020-06-01,Bronx,159
2020-06-01,New York,77
2020-06-01,Queens,157
2020-06-01,Richmond,42
2020-06-02,Kings,185
2020-06-02,Bronx,121
2020-06-02,New York,71
2020-06-02,Queens,163
2020-06-02,Richmond,34
2020-06-03,Kings,133
2020-06-03,Bronx,112
2020-06-03,New York,78
2020-06-03,Queens,148
2020-06-03,Richmond,45
2020-06-04,Kings,131
2020-06-04,Bronx,126
2020-06-04,New York,88
2020-06-04,Queens,148
2020-06-04,Richmond,30
2020-06-05,Kings,131
2020-06-05,Bronx,108
2020-06-05,New York,54
2020-06-05,Queens,103
2020-06-05,Richmond,8
2020-06-06,Kings,59
2020-06-06,Bronx,51
2020-06-06,New York,32
2020-06-06,Queens,98
2020-06-06,Richmond,7
2020-06-07,Kings,52
2020-06-07,Bronx,43
2020-06-07,New York,25
2020-06-07,Queens,74
2020-06-07,Richmond,4
2020-06-08,Kings,112
2020-06-08,Bronx,97
2020-06-08,New York,75
2020-06-08,Queens,147
2020-06-08,Richmond,20
2020-06-09,Kings,121
2020-06-09,Bronx,84
2020-06-09,New York,67
2020-06-09,Queens,130
2020-06-09,Richmond,19
2020-06-10,Kings,97
2020-06-10,Bronx,76
2020-06-10,New York,69
2020-06-10,Queens,109
2020-06-10,Richmond,14
2020-06-11,Kings,114
2020-06-11,Bronx,65
2020-06-11,New York,54
2020-06-11,Queens,117
2020-06-11,Richmond,16
2020-06-12,Kings,123
2020-06-12,Bronx,80
2020-06-12,New York,58
2020-06-12,Queens,131
2020-06-12,Richmond,18
2020-06-13,Kings,52
2020-06-13,Bronx,46
2020-06-13,New York,24
2020-06-13,Queens,73
2020-06-13,Richmond,2
2020-06-14,Kings,53
2020-06-14,Bronx,27
2020-06-14,New York,28
2020-06-14,Queens,68
2020-06-14,Richmond,4
2020-06-15,Kings,102
2020-06-15,Bronx,79
2020-06-15,New York,59
2020-06-15,Queens,122
2020-06-15,Richmond,18
2020-06-16,Kings,133
2020-06-16,Bronx,80
2020-06-16,New York,67
2020-06-16,Queens,120
2020-06-16,Richmond,20
2020-06-17,Kings,113
2020-06-17,Bronx,68
2020-06-17,New York,65
2020-06-17,Queens,93
2020-06-17,Richmond,17
2020-06-18,Kings,112
2020-06-18,Bronx,60
2020-06-18,New York,58
2020-06-18,Queens,123
2020-06-18,Richmond,25
2020-06-19,Kings,91
2020-06-19,Bronx,83
2020-06-19,New York,56
2020-06-19,Queens,123
2020-06-19,Richmond,9
2020-06-20,Kings,46
2020-06-20,Bronx,53
2020-06-20,New York,44
2020-06-20,Queens,54
2020-06-20,Richmond,6
2020-06-21,Kings,54
2020-06-21,Bronx,25
2020-06-21,New York,26
2020-06-21,Queens,58
2020-06-21,Richmond,9
2020-06-22,Kings,109
2020-06-22,Bronx,90
2020-06-22,New York,62
2020-06-22,Queens,119
2020-06-22,Richmond,18
2020-06-23,Kings,95
2020-06-23,Bronx,73
2020-06-23,New York,77
2020-06-23,Queens,122
2020-06-23,Richmond,16
2020-06-24,Kings,101
2020-06-24,Bronx,89
2020-06-24,New York,73
2020-06-24,Queens,103
2020-06-24,Richmond,14
2020-06-25,Kings,81
2020-06-25,Bronx,64
2020-06-25,New York,46
2020-06-25,Queens,79
2020-06-25,Richmond,28
2020-06-26,Kings,94
2020-06-26,Bronx,65
2020-06-26,New York,63
2020-06-26,Queens,76
2020-06-26,Richmond,16
2020-06-27,Kings,70
2020-06-27,Bronx,27
2020-06-27,New York,37
2020-06-27,Queens,60
2020-06-27,Richmond,13
