DATE_OF_INTEREST,QN_CASE_COUNT,QN_HOSPITALIZED_COUNT,QN_DEATH_COUNT
05/25/2020,114,20,12
05/26/2020,267,21,9
05/27/2020,165,26,18
05/28/2020,178,22,10
05/29/2020,212,31,14
05/30/2020,109,15,17
05/31/2020,79,22,16
06/01/2020,157,17,16
06/02/2020,163,19,15
06/03/2020,148,20,9
06/04/2020,148,22,9
06/05/2020,103,18,5
06/06/2020,98,14,11
06/07/2020,74,7,10
06/08/2020,147,21,15
06/09/2020,130,13,10
06/10/2020,109,18,8
06/11/2020,117,14,8
06/12/2020,131,12,10
06/13/2020,73,16,2
06/14/2020,68,14,6
06/15/2020,122,15,6
06/16/2020,120,20,7
06/17/2020,93,17,8
06/18/2020,123,21,6
06/19/2020,123,11,5
06/20/2020,54,10,6
06/21/2020,58,10,11
06/22/2020,119,13,9
06/23/2020,122,12,5
06/24/2020,103,16,8
06/25/2020,79,13,4
06/26/2020,76,7,5
06/27/2020,60,6,6
06/28/2020,58,12,6
06/29/2020,133,13,7
06/30/2020,112,13,8
07/01/2020,93,13,3
07/02/2020,118,17,5
07/03/2020,65,5,6
07/04/2020,32,7,3
07/05/2020,38,12,2
07/06/2020,119,21,4
07/07/2020,106,13,4
07/08/2020,88,5,5
07/09/2020,94,11,1
07/10/2020,90,15,1
07/11/2020,86,9,5
07/12/2020,70,6,5
07/13/2020,138,13,5
07/14/2020,122,12,3
07/15/2020,91,9,7
07/16/2020,109,5,3
07/17/2020,105,16,8
07/18/2020,49,7,2
07/19/2020,46,14,0
07/20/2020,109,6,3
07/21/2020,100,6,2
07/22/2020,76,12,4
07/23/2020,63,7,4
07/24/2020,75,11,1
07/25/2020,46,6,2
07/26/2020,33,5,2
07/27/2020,78,10,1
07/28/2020,73,9,4
07/29/2020,69,5,1
07/30/2020,61,9,0
07/31/2020,60,6,1
08/01/2020,54,3,1
08/02/2020,33,11,0
08/03/2020,83,9,1
08/04/2020,46,6,2
08/05/2020,79,12,3
08/06/2020,66,9,2
08/07/2020,57,5,2
08/08/2020,43,4,0
08/09/2020,37,5,2
08/10/2020,76,6,2
08/11/2020,51,4,2
08/12/2020,86,10,0
08/13/2020,67,10,0
08/14/2020,69,16,0
08/15/2020,42,4,0
08/16/2020,39,5,2
08/17/2020,92,13,2
08/18/2020,87,14,0
08/19/2020,70,5,1
08/20/2020,55,12,2
08/21/2020,60,8,3
08/22/2020,34,7,1
08/23/2020,40,10,0
08/24/2020,83,5,0
08/25/2020,69,10,0
08/26/2020,66,4,3
08/27/2020,61,11,0
08/28/2020,51,7,1
08/29/2020,32,5,1
08/30/2020,42,6,2
08/31/2020,77,12,0
09/01/2020,72,6,1
09/02/2020,70,9,1
09/03/2020,89,7,1
09/04/2020,58,9,2
09/05/2020,33,3,0
09/06/2020,60,9,2
09/07/2020,52,5,1
09/08/2020,95,7,0
09/09/2020,82,9,1
09/10/2020,70,9,1
09/11/2020,77,7,0
09/12/2020,60,4,3
09/13/2020,65,5,1
09/14/2020,96,5,2
09/15/2020,71,6,1
09/16/2020,81,11,3
09/17/2020,93,5,1
09/18/2020,67,5,0
09/19/2020,53,7,1
09/20/2020,29,4,1
09/21/2020,114,5,0
09/22/2020,102,9,0
09/23/2020,106,6,0
09/24/2020,85,8,0
09/25/2020,123,10,1
09/26/2020,60,5,1
09/27/2020,99,8,0
09/28/2020,109,15,1
09/29/2020,167,9,2
09/30/2020,134,6,0
10/01/2020,134,4,4
10/02/2020,139,12,1
10/03/2020,96,3,2
10/04/2020,81,8,2
10/05/2020,175,13,0
10/06/2020,118,7,0
10/07/2020,87,6,0
10/08/2020,73,1,1
10/09/2020,38,0,0
10/10/2020,1,0,0
